city,place_name,category,lat,lon
CHENNAI,HP,fuel,13.0368733,80.2555597
CHENNAI,IOC,fuel,13.037841,80.2562967
CHENNAI,BP,fuel,13.0378885,80.2569506
CHENNAI,Bharat Petroleum,fuel,12.9943244,80.1870765
CHENNAI,HP,fuel,13.0391669,80.2573351
CHENNAI,HP,fuel,13.0402403,80.2468562
CHENNAI,HP,fuel,12.9796614,80.218483
CHENNAI,HP,fuel,13.0311284,80.2394414
CHENNAI,Shanthi Petrol Station,fuel,12.9935494,80.1850866
CHENNAI,HP,fuel,13.0534169,80.252032
CHENNAI,HP,fuel,13.0427775,80.2677547
CHENNAI,HP,fuel,13.0184727,80.2614032
CHENNAI,Indian Oil,fuel,13.0421221,80.2684202
CHENNAI,Indian Oil,fuel,12.9097046,80.2503011
CHENNAI,Shell,fuel,13.0247047,80.2065279
CHENNAI,HP,fuel,13.0200917,80.1853891
CHENNAI,BP,fuel,13.0116259,80.2185178
CHENNAI,HP,fuel,13.0158863,80.2048651
CHENNAI,Indian Oil,fuel,13.0347707,80.2109563
CHENNAI,Indian Oil,fuel,13.0231114,80.2063585
CHENNAI,BP,fuel,13.0127799,80.2222772
CHENNAI,BP,fuel,13.0112743,80.2229232
CHENNAI,Indian Oil,fuel,13.0402991,80.1304112
CHENNAI,Bharat Petroleum,fuel,13.0386047,80.1330017
CHENNAI,HP,fuel,13.0265542,80.2324615
CHENNAI,Indian Oil,fuel,13.044528,80.2634018
CHENNAI,HP Petrol Bunk,fuel,13.0277462,80.2512876
CHENNAI,HP,fuel,13.0949946,80.2927844
CHENNAI,Shell,fuel,13.0484551,80.2066281
CHENNAI,IBP Petrol Station,fuel,12.9655809,80.2003887
CHENNAI,Bharat Petroleum,fuel,12.9640355,80.214439
CHENNAI,Bharat Petroleum,fuel,13.0073497,80.2002828
CHENNAI,Indian Oil,fuel,12.9686473,80.2571319
CHENNAI,Bharat Petroleum,fuel,12.9672226,80.2573585
CHENNAI,Indian Oil,fuel,12.967692,80.2574844
CHENNAI,BP Petrol Pump,fuel,13.0466076,80.1910336
CHENNAI,BP,fuel,13.0421141,80.259281
CHENNAI,Indian Oil,fuel,12.8761596,80.2273012
CHENNAI,HP,fuel,12.9949579,80.1879445
CHENNAI,Bharat Petroleum,fuel,12.9225671,80.197052
CHENNAI,Chinthamani Cooperative Petrol Bunk,fuel,13.0409717,80.2373739
CHENNAI,HP,fuel,13.0401531,80.2400751
CHENNAI,Bharat Petroleum,fuel,12.9083732,80.2287564
CHENNAI,Bharat Petroleum,fuel,12.9247788,80.2303371
CHENNAI,Bharat Petroleum,fuel,12.9823866,80.2180571
CHENNAI,Bharat Petroleum Bunk,fuel,13.072324,80.2602653
CHENNAI,Bharat Petroleum,fuel,13.0649955,80.2432915
CHENNAI,Indian Oil Propel,fuel,13.0263102,80.2316753
CHENNAI,Bharat Petroleum,fuel,13.0378648,80.1918972
CHENNAI,Indian Oil,fuel,13.0378858,80.1921778
CHENNAI,Bharat Petroleum,fuel,13.0154656,80.1840501
CHENNAI,HP,fuel,13.07198,80.2598553
CHENNAI,Bharat Petroleum,fuel,12.9695901,80.1499164
CHENNAI,HP,fuel,12.9684621,80.1499328
CHENNAI,Indian Oil,fuel,13.0722894,80.2517008
CHENNAI,Bharat Petroleum Petrol Station,fuel,13.0504559,80.2564197
CHENNAI,IndianOil,fuel,13.0558552,80.2487664
CHENNAI,Bharat Petroleum Petrol Pump,fuel,13.0202778,80.1300076
CHENNAI,Indian Oil,fuel,13.0472469,80.1995671
CHENNAI,Indian Oil Petrol Bunk,fuel,13.0370179,80.201671
CHENNAI,Bharat Petroleum,fuel,12.8815247,80.2451006
CHENNAI,Supergas,fuel,12.9006734,80.2277083
CHENNAI,Indian Oil,fuel,13.1244214,80.2778562
CHENNAI,Indian Oil,fuel,13.1236244,80.2016478
CHENNAI,Indian Oil,fuel,13.0689227,80.2624415
CHENNAI,Indian Oil,fuel,13.0759096,80.2640838
CHENNAI,Bharat Petroleum,fuel,13.010343,80.2588836
CHENNAI,Bharat Petroleum,fuel,13.0543034,80.2496574
CHENNAI,Bharat Petroleum,fuel,13.069942,80.2725116
CHENNAI,Kousalya Fuels Velachery,fuel,12.9971505,80.2163258
CHENNAI,HP,fuel,13.1036664,80.2734324
CHENNAI,Indian Oil,fuel,13.0646905,80.1977719
CHENNAI,Bharat Petroleum,fuel,13.0687954,80.2558494
CHENNAI,Indian Oil,fuel,12.9424731,80.2530279
CHENNAI,Bharat Petroleum,fuel,12.9469904,80.2538044
CHENNAI,Bharat Petroleum,fuel,13.0790936,80.2499082
CHENNAI,Indian Oil,fuel,13.0566431,80.2644059
CHENNAI,Bharat Petroleum,fuel,12.9746968,80.1920646
CHENNAI,Shell,fuel,12.9085119,80.2501864
CHENNAI,HP,fuel,13.1276031,80.2175373
CHENNAI,HP,fuel,13.0540708,80.2344005
CHENNAI,Total,fuel,13.0773865,80.2107125
CHENNAI,Bharat Petroleum,fuel,13.0773833,80.208043
CHENNAI,Bharat Petroleum,fuel,13.0936528,80.2412948
CHENNAI,Shell,fuel,12.867248,80.226778
CHENNAI,Bharat Petroleum,fuel,12.8873817,80.1840488
CHENNAI,Indian Oil,fuel,13.0210393,80.2251942
CHENNAI,HP,fuel,12.9270116,80.2515525
CHENNAI,Bharat Petroleum,fuel,12.8889527,80.1987376
CHENNAI,Go Gas,fuel,13.0458131,80.2398536
CHENNAI,Nayara,fuel,12.917494,80.1893385
CHENNAI,Bharat Petroleum,fuel,13.0805405,80.2665835
CHENNAI,Hindustan Petroleum,fuel,12.8670551,80.2429093
CHENNAI,Indian Oil,fuel,13.1250522,80.2045223
CHENNAI,Kalaignar Karunanidhi Nagar,hospital,13.0386493,80.2052158
CHENNAI,Kasimedu,hospital,13.122775,80.2960584
CHENNAI,Amrit Hospital,hospital,13.0922007,80.2792912
CHENNAI,Vikram Hospital,hospital,13.0985007,80.2796178
